sepal_length,sepal_width,petal_length,petal_width,gold_label,target,comp1,comp2,kmeans,shift
5.1,3.3,1.7,0.5,Iris-setosa,0,-2.3031285376638824,0.10552267842998246,1,1
5.5,2.4,3.8,1.1,Iris-versicolor,1,-0.07034288894927143,-0.7025379317307262,0,2
5.9,3.2,4.8,1.8,Iris-versicolor,1,1.116240723753816,-0.08421401387837346,0,0
6.0,2.9,4.5,1.5,Iris-versicolor,1,0.812455548998002,-0.16233157487863334,0,2
6.3,2.5,5.0,1.9,Iris-virginica,2,1.525663631313872,-0.3750208481918229,0,0
7.2,3.2,6.0,1.8,Iris-virginica,2,2.6141938306983334,0.5583669502788223,2,3
6.7,3.0,5.0,1.7,Iris-versicolor,1,1.557396272070702,0.26739258481276484,2,0
6.5,3.0,5.2,2.0,Iris-virginica,2,1.764045935526983,0.07851918642935753,2,3
6.0,2.2,5.0,1.5,Iris-virginica,2,1.2983298245678159,-0.7610139365215082,0,0
6.5,3.0,5.5,1.8,Iris-virginica,2,1.9492487818644981,0.040730259427767736,2,3
6.7,3.1,4.7,1.5,Iris-versicolor,1,1.2204289662446792,0.40803533700101746,0,0
6.6,2.9,4.6,1.3,Iris-versicolor,1,1.0432977807062804,0.22895690877700678,0,0
6.7,3.3,5.7,2.1,Iris-virginica,2,2.275853649305694,0.3333865257566422,2,3
6.4,2.8,5.6,2.2,Iris-virginica,2,2.158738373133135,-0.21832553156299328,2,3
5.1,3.8,1.9,0.4,Iris-setosa,0,-2.208832954176705,0.442696030421003,1,1
7.7,3.8,6.7,2.2,Iris-virginica,2,3.488765379656386,1.1715445442635646,2,3
5.8,4.0,1.2,0.2,Iris-setosa,0,-2.643543216941146,1.1861948994134497,1,1
6.2,2.9,4.3,1.3,Iris-versicolor,1,0.6416902781665431,0.019071176491270714,0,2
4.7,3.2,1.6,0.2,Iris-setosa,0,-2.6328479080307576,-0.19007583063362413,1,1
5.1,3.4,1.5,0.2,Iris-setosa,0,-2.590323025585674,0.236059337288873,1,1
5.2,2.7,3.9,1.4,Iris-versicolor,1,-0.010190070727852928,-0.7205748667019016,0,2
5.2,3.4,1.4,0.2,Iris-setosa,0,-2.6398212683765814,0.31929006596032194,1,1
6.9,3.1,5.1,2.3,Iris-virginica,2,1.9224508848357524,0.40927117617869596,2,3
4.9,3.1,1.5,0.1,Iris-setosa,0,-2.6738446867191206,-0.1066917037527386,1,1
7.4,2.8,6.1,1.9,Iris-virginica,2,2.840960925285384,0.37274259104902124,2,3
4.4,3.2,1.3,0.2,Iris-setosa,0,-2.9982964428323506,-0.33430757459077726,1,1
5.1,3.8,1.6,0.2,Iris-setosa,0,-2.537573371013506,0.510367545476606,1,1
5.7,2.8,4.5,1.3,Iris-versicolor,1,0.6404367495231457,-0.4173234829700259,0,2
6.9,3.1,5.4,2.1,Iris-virginica,2,2.107653731173268,0.3714822491771059,2,3
5.7,3.8,1.7,0.3,Iris-setosa,0,-2.199077961430763,0.8792440880917368,1,1
4.6,3.1,1.5,0.2,Iris-setosa,0,-2.746437197308734,-0.31112431575199184,1,1
5.6,3.0,4.1,1.3,Iris-versicolor,1,0.24519516169034616,-0.2667280356618481,0,2
5.0,3.2,1.2,0.2,Iris-setosa,0,-2.866999846932534,0.07719309572358729,1,1
5.4,3.4,1.5,0.4,Iris-setosa,0,-2.4100773371215953,0.4180800082476163,1,1
6.4,3.2,4.5,1.5,Iris-versicolor,1,0.9324107529829178,0.31919808983364883,0,0
6.0,3.0,4.8,1.8,Iris-virginica,2,1.1688534694704036,-0.1645024998150899,0,0
6.3,2.3,4.4,1.3,Iris-versicolor,1,0.8128677903690696,-0.37067899831890994,0,2
5.5,2.5,4.0,1.3,Iris-versicolor,1,0.16451342836925592,-0.679661469310814,0,2
5.0,3.6,1.4,0.2,Iris-setosa,0,-2.7285929818313144,0.33392456356845485,1,1
4.6,3.6,1.0,0.2,Iris-setosa,0,-3.2158576949001048,0.14161557162558372,1,1
5.9,3.0,4.2,1.5,Iris-versicolor,1,0.5110980606834776,-0.1022841050459702,0,2
6.3,2.9,5.6,1.8,Iris-virginica,2,1.9708149459064817,-0.18112569470491388,2,3
6.1,2.9,4.7,1.4,Iris-versicolor,1,0.984044545169431,-0.12436042022227806,0,0
6.0,2.7,5.1,1.6,Iris-versicolor,1,1.3787369827755829,-0.42120513821462857,0,0
5.8,2.7,3.9,1.2,Iris-versicolor,1,0.13499495045137339,-0.31170964270339624,0,2
7.7,2.6,6.9,2.3,Iris-virginica,2,3.79468686120997,0.2532655709725345,2,3
5.4,3.4,1.7,0.2,Iris-setosa,0,-2.310531701313134,0.39786782158889206,1,1
5.5,2.3,4.0,1.3,Iris-versicolor,1,0.18096720634769897,-0.8256039435761133,0,2
6.5,3.2,5.1,2.0,Iris-virginica,2,1.6619349470194869,0.24203840103752255,2,0
6.3,2.5,4.9,1.5,Iris-versicolor,1,1.2964688502855333,-0.3275615197949443,0,0
5.5,2.6,4.4,1.2,Iris-versicolor,1,0.46303098887142424,-0.6695265465361229,0,2
5.1,3.8,1.5,0.3,Iris-setosa,0,-2.5873461889177376,0.5204736388059681,1,1
5.1,3.5,1.4,0.3,Iris-setosa,0,-2.6483227324791265,0.3191366677508849,1,1
5.0,3.5,1.3,0.3,Iris-setosa,0,-2.7701389107463235,0.2710594197651672,1,1
5.6,2.7,4.2,1.3,Iris-versicolor,1,0.3555330391870636,-0.5032184874026625,0,2
7.2,3.0,5.8,1.6,Iris-virginica,2,2.3875644023690272,0.4625192507262604,2,3
6.7,3.3,5.7,2.5,Iris-virginica,2,2.41939121980498,0.30350393770262896,2,3
5.5,4.2,1.4,0.2,Iris-setosa,0,-2.597159477075918,1.100021928007269,1,1
5.8,2.7,4.1,1.0,Iris-versicolor,1,0.23454058625983562,-0.33192182936212056,0,2
6.3,2.7,4.9,1.8,Iris-virginica,2,1.3876682501815556,-0.2040309865701548,0,0
6.3,3.3,6.0,2.5,Iris-virginica,2,2.5317269804395583,-0.011842236640300296,2,3
4.8,3.4,1.9,0.2,Iris-setosa,0,-2.3561710866838967,-0.031209589068338428,1,1
4.6,3.2,1.4,0.2,Iris-setosa,0,-2.840321296827008,-0.22057633827647663,1,1
5.8,2.8,5.1,2.4,Iris-virginica,2,1.5852672993086445,-0.539307053847172,0,0
4.3,3.0,1.1,0.1,Iris-setosa,0,-3.2252004462749797,-0.5032799094854259,1,1
6.4,3.2,5.3,2.3,Iris-virginica,2,1.9047435782139124,0.11881899098269873,2,3
5.8,2.6,4.0,1.2,Iris-versicolor,1,0.22887904996964759,-0.4022576201789115,0,2
6.3,3.3,4.7,1.6,Iris-versicolor,1,1.0952237099384783,0.2838912109384804,0,0
5.1,2.5,3.0,1.1,Iris-versicolor,1,-0.9084633331234948,-0.7515687251694857,0,2
7.9,3.8,6.4,2.0,Iris-virginica,2,3.2323428982958746,1.3705240359763338,2,3
5.4,3.7,1.5,0.2,Iris-setosa,0,-2.506526789338903,0.6519350136725721,1,1
6.8,3.2,5.9,2.3,Iris-virginica,2,2.563322712340809,0.2759745022398383,2,3
5.5,2.4,3.7,1.0,Iris-versicolor,1,-0.19188449210314557,-0.6774905443743575,0,2
6.3,3.4,5.6,2.4,Iris-virginica,2,2.1449868567093047,0.13890660887731468,2,3
5.3,3.7,1.5,0.2,Iris-setosa,0,-2.5426857570770482,0.5862810253439885,1,1
6.1,2.6,5.6,1.4,Iris-virginica,2,1.77964010689857,-0.501464794706016,2,0
5.0,3.5,1.6,0.6,Iris-setosa,0,-2.4055141012847003,0.19591725769606094,1,1
5.7,3.0,4.2,1.2,Iris-versicolor,1,0.33112694733272313,-0.21118014066262683,0,2
4.9,3.1,1.5,0.1,Iris-setosa,0,-2.6738446867191206,-0.1066917037527386,1,1
5.6,2.9,3.6,1.3,Iris-versicolor,1,-0.174864001965696,-0.2518155710801706,0,2
